Label: Tib-Ant Sampling frequency: 1.000000e+003 Number of points: 23000 X start: 0.000000e+000 Unit: V Domain Unit: s
Label: Gcn-Med Sampling frequency: 1.000000e+003 Number of points: 23000 X start: 0.000000e+000 Unit: V Domain Unit: s
Start Trigger Method: Manual
Stop Trigger Method: Auto
Use Camera: NO
Video File Path: prueba Tib-ant, Gcn-med[Rep1].avi
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
X [s],Tib-Ant [V],Gcn-Med [V]
2.900000e-001,-1.663208e-005,-2.136230e-006
2.910000e-001,-1.541138e-005,-9.765625e-006
2.920000e-001,-1.892090e-005,-1.068115e-005
2.930000e-001,-2.075195e-005,-1.434326e-005
2.940000e-001,-1.800537e-005,-8.087158e-006
2.950000e-001,-2.059937e-005,-3.967285e-006
2.960000e-001,-1.480103e-005,3.204346e-006
2.970000e-001,-1.464844e-005,1.373291e-006
2.980000e-001,-1.312256e-005,6.103516e-007
2.990000e-001,-5.035400e-006,7.629395e-007
3.000000e-001,-3.051758e-007,-3.051758e-007
3.010000e-001,-3.356934e-006,3.662109e-006
3.020000e-001,-9.307861e-006,3.051758e-006
3.030000e-001,-1.403809e-005,7.629395e-006
3.040000e-001,-1.647949e-005,4.882813e-006
3.050000e-001,-2.166748e-005,3.356934e-006
3.060000e-001,-1.678467e-005,1.220703e-006
3.070000e-001,-1.525879e-005,1.983643e-006
3.080000e-001,-1.678467e-005,7.629395e-007
3.090000e-001,-1.602173e-005,-5.950928e-006
3.100000e-001,-1.953125e-005,-4.119873e-006
3.110000e-001,-2.014160e-005,-5.493164e-006
3.120000e-001,-1.571655e-005,-6.866455e-006
3.130000e-001,-1.373291e-005,-7.629395e-006
3.140000e-001,-2.029419e-005,6.103516e-007
3.150000e-001,-2.136230e-005,5.950928e-006
3.160000e-001,-1.800537e-005,1.251221e-005
3.170000e-001,-1.556396e-005,9.765625e-006
3.180000e-001,-1.220703e-005,7.019043e-006
3.190000e-001,-7.934570e-006,9.765625e-006
3.200000e-001,-6.256104e-006,9.002686e-006
3.210000e-001,-1.007080e-005,5.340576e-006
3.220000e-001,-1.403809e-005,5.798340e-006
3.230000e-001,-2.014160e-005,3.814697e-006
3.240000e-001,-1.892090e-005,6.256104e-006
3.250000e-001,-2.288818e-005,8.087158e-006
3.260000e-001,-2.166748e-005,6.103516e-006
3.270000e-001,-2.182007e-005,5.645752e-006
3.280000e-001,-1.907349e-005,-1.220703e-006
3.290000e-001,-1.678467e-005,-2.593994e-006
3.300000e-001,-1.251221e-005,-2.288818e-006
3.310000e-001,-7.476807e-006,-2.899170e-006
3.320000e-001,-5.493164e-006,1.068115e-006
3.330000e-001,-5.035400e-006,7.019043e-006
3.340000e-001,-6.561279e-006,5.035400e-006
3.350000e-001,-6.103516e-006,2.899170e-006
3.360000e-001,-5.035400e-006,2.899170e-006
3.370000e-001,-8.544922e-006,6.866455e-006
3.380000e-001,-8.850098e-006,1.174927e-005
3.390000e-001,-4.272461e-006,1.464844e-005
3.400000e-001,-7.629395e-006,9.002686e-006
3.410000e-001,-7.324219e-006,9.765625e-006
3.420000e-001,-1.022339e-005,5.340576e-006
3.430000e-001,-1.174927e-005,4.425049e-006
3.440000e-001,-1.571655e-005,-1.068115e-006
3.450000e-001,-1.846313e-005,4.577637e-007
3.460000e-001,-1.663208e-005,1.831055e-006
3.470000e-001,-1.663208e-005,-1.678467e-006
3.480000e-001,-1.892090e-005,-5.340576e-006
3.490000e-001,-2.044678e-005,-9.002686e-006
3.500000e-001,-2.212524e-005,-7.629395e-006
3.510000e-001,-1.724243e-005,-7.781982e-006
3.520000e-001,-2.166748e-005,-1.037598e-005
3.530000e-001,-2.075195e-005,-8.850098e-006
3.540000e-001,-1.693726e-005,-4.119873e-006
3.550000e-001,-1.434326e-005,-7.629395e-007
3.560000e-001,-1.495361e-005,2.746582e-006
3.570000e-001,-1.495361e-005,7.934570e-006
3.580000e-001,-1.541138e-005,1.312256e-005
3.590000e-001,-1.495361e-005,1.876831e-005
3.600000e-001,-1.296997e-005,1.342773e-005
3.610000e-001,-1.190186e-005,9.613037e-006
3.620000e-001,-1.342773e-005,1.052856e-005
3.630000e-001,-1.586914e-005,8.239746e-006
3.640000e-001,-1.556396e-005,8.087158e-006
3.650000e-001,-1.632690e-005,4.272461e-006
3.660000e-001,-1.419067e-005,6.713867e-006
3.670000e-001,-1.174927e-005,1.525879e-007
3.680000e-001,-1.510620e-005,-1.831055e-006
3.690000e-001,-1.998901e-005,-7.019043e-006
3.700000e-001,-1.983643e-005,-1.983643e-006
3.710000e-001,-1.770020e-005,-4.272461e-006
3.720000e-001,-1.480103e-005,-9.765625e-006
3.730000e-001,-1.266479e-005,1.373291e-006
3.740000e-001,-8.544922e-006,8.392334e-006
3.750000e-001,-5.493164e-006,6.256104e-006
3.760000e-001,-8.087158e-006,2.288818e-006
3.770000e-001,-1.083374e-005,-3.051758e-007
3.780000e-001,-5.950928e-006,-4.272461e-006
3.790000e-001,-7.781982e-006,-2.899170e-006
3.800000e-001,-9.613037e-006,1.693726e-005
3.810000e-001,-1.129150e-005,3.280640e-005
3.820000e-001,-1.586914e-005,5.401611e-005
3.830000e-001,-2.319336e-005,3.341675e-005
3.840000e-001,-2.227783e-005,-9.155273e-007
