Label: EMG Ch1 Sampling frequency: 1.000000e+003 Number of points: 10000 X start: 0.000000e+000 Unit: V Domain Unit: s
Start Trigger Method: Manual
Stop Trigger Method: Manual
Use Camera: NO
Video File Path: Set1[Rep1].avi
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
X [s],EMG Ch1 [V]
4.690000e-001,4.165649e-005
4.700000e-001,4.425049e-005
4.710000e-001,3.845215e-005
4.720000e-001,4.089355e-005
4.730000e-001,4.333496e-005
4.740000e-001,4.226685e-005
4.750000e-001,4.165649e-005
4.760000e-001,4.592896e-005
4.770000e-001,4.867554e-005
4.780000e-001,4.577637e-005
4.790000e-001,4.638672e-005
4.800000e-001,4.791260e-005
4.810000e-001,4.898071e-005
4.820000e-001,4.943848e-005
4.830000e-001,4.638672e-005
4.840000e-001,4.516602e-005
4.850000e-001,4.653931e-005
4.860000e-001,4.623413e-005
4.870000e-001,4.486084e-005
4.880000e-001,4.135132e-005
4.890000e-001,4.165649e-005
4.900000e-001,4.196167e-005
4.910000e-001,4.089355e-005
4.920000e-001,4.074097e-005
4.930000e-001,4.013062e-005
4.940000e-001,3.799438e-005
4.950000e-001,3.860474e-005
4.960000e-001,3.601074e-005
4.970000e-001,4.043579e-005
4.980000e-001,4.135132e-005
4.990000e-001,4.165649e-005
5.000000e-001,4.425049e-005
5.010000e-001,4.623413e-005
5.020000e-001,4.577637e-005
5.030000e-001,4.714966e-005
5.040000e-001,4.562378e-005
5.050000e-001,4.516602e-005
5.060000e-001,4.089355e-005
5.070000e-001,4.470825e-005
5.080000e-001,4.608154e-005
5.090000e-001,4.638672e-005
5.100000e-001,5.004883e-005
5.110000e-001,4.562378e-005
5.120000e-001,4.730225e-005
5.130000e-001,5.371094e-005
5.140000e-001,4.974365e-005
5.150000e-001,4.608154e-005
5.160000e-001,4.302979e-005
5.170000e-001,4.028320e-005
5.180000e-001,4.043579e-005
5.190000e-001,4.058838e-005
5.200000e-001,3.860474e-005
5.210000e-001,4.028320e-005
5.220000e-001,3.860474e-005
5.230000e-001,3.921509e-005
5.240000e-001,4.394531e-005
5.250000e-001,4.623413e-005
5.260000e-001,4.943848e-005
5.270000e-001,4.791260e-005
5.280000e-001,4.364014e-005
5.290000e-001,4.531860e-005
5.300000e-001,4.745483e-005
5.310000e-001,4.684448e-005
5.320000e-001,4.318237e-005
5.330000e-001,4.226685e-005
5.340000e-001,4.058838e-005
5.350000e-001,3.982544e-005
5.360000e-001,3.814697e-005
5.370000e-001,4.257202e-005
5.380000e-001,4.440308e-005
5.390000e-001,4.547119e-005
5.400000e-001,4.470825e-005
5.410000e-001,4.730225e-005
5.420000e-001,4.760742e-005
5.430000e-001,4.180908e-005
5.440000e-001,4.135132e-005
5.450000e-001,4.074097e-005
5.460000e-001,4.516602e-005
5.470000e-001,4.638672e-005
5.480000e-001,4.608154e-005
5.490000e-001,4.425049e-005
5.500000e-001,4.348755e-005
5.510000e-001,4.287720e-005
5.520000e-001,4.547119e-005
5.530000e-001,4.516602e-005
5.540000e-001,4.348755e-005
5.550000e-001,4.226685e-005
5.560000e-001,4.257202e-005
5.570000e-001,4.226685e-005
5.580000e-001,4.043579e-005
5.590000e-001,3.601074e-005
5.600000e-001,3.585815e-005
5.610000e-001,3.387451e-005
5.620000e-001,3.768921e-005
5.630000e-001,4.119873e-005
5.640000e-001,4.470825e-005
5.650000e-001,5.020142e-005
5.660000e-001,5.004883e-005
5.670000e-001,4.760742e-005
5.680000e-001,5.157471e-005
5.690000e-001,4.959106e-005
5.700000e-001,4.882813e-005
5.710000e-001,4.760742e-005
5.720000e-001,4.821777e-005
5.730000e-001,4.653931e-005
5.740000e-001,4.653931e-005
5.750000e-001,4.730225e-005
5.760000e-001,4.745483e-005
5.770000e-001,4.364014e-005
5.780000e-001,4.684448e-005
5.790000e-001,4.730225e-005
5.800000e-001,4.562378e-005
5.810000e-001,4.684448e-005
5.820000e-001,4.653931e-005
5.830000e-001,4.425049e-005
5.840000e-001,3.753662e-005
5.850000e-001,3.219604e-005
5.860000e-001,2.609253e-005
5.870000e-001,3.158569e-005
5.880000e-001,3.555298e-005
5.890000e-001,3.417969e-005
5.900000e-001,4.165649e-005
5.910000e-001,4.043579e-005
5.920000e-001,4.501343e-005
5.930000e-001,4.714966e-005
5.940000e-001,4.623413e-005
5.950000e-001,4.806519e-005
5.960000e-001,4.714966e-005
5.970000e-001,4.943848e-005
5.980000e-001,4.714966e-005
5.990000e-001,4.852295e-005
6.000000e-001,5.157471e-005
6.010000e-001,4.821777e-005
6.020000e-001,4.608154e-005
6.030000e-001,4.455566e-005
6.040000e-001,3.906250e-005
6.050000e-001,3.860474e-005
6.060000e-001,3.829956e-005
6.070000e-001,3.799438e-005
6.080000e-001,4.165649e-005
6.090000e-001,4.104614e-005
6.100000e-001,4.531860e-005
6.110000e-001,4.547119e-005
6.120000e-001,4.608154e-005
6.130000e-001,4.455566e-005
6.140000e-001,4.562378e-005
6.150000e-001,4.684448e-005
6.160000e-001,4.806519e-005
6.170000e-001,4.653931e-005
6.180000e-001,4.714966e-005
6.190000e-001,4.684448e-005
6.200000e-001,5.096436e-005
6.210000e-001,4.913330e-005
6.220000e-001,4.898071e-005
6.230000e-001,4.608154e-005
6.240000e-001,4.318237e-005
6.250000e-001,4.074097e-005
6.260000e-001,4.028320e-005
6.270000e-001,4.089355e-005
6.280000e-001,3.768921e-005
6.290000e-001,3.662109e-005
6.300000e-001,3.814697e-005
6.310000e-001,3.784180e-005
6.320000e-001,4.028320e-005
6.330000e-001,4.104614e-005
6.340000e-001,4.272461e-005
6.350000e-001,4.455566e-005
6.360000e-001,3.936768e-005
6.370000e-001,4.119873e-005
6.380000e-001,4.272461e-005
6.390000e-001,4.348755e-005
6.400000e-001,4.547119e-005
6.410000e-001,4.531860e-005
6.420000e-001,4.699707e-005
6.430000e-001,4.348755e-005
6.440000e-001,4.241943e-005
6.450000e-001,4.501343e-005
6.460000e-001,5.050659e-005
6.470000e-001,5.493164e-005
6.480000e-001,5.630493e-005
6.490000e-001,5.401611e-005
6.500000e-001,5.050659e-005
6.510000e-001,4.425049e-005
6.520000e-001,3.601074e-005
6.530000e-001,3.372192e-005
6.540000e-001,3.616333e-005
6.550000e-001,4.486084e-005
6.560000e-001,4.501343e-005
